cited_doi,pub_year,cited_year,n,nobel_author,nobel_year,time_after_publish
10.1103/PhysRevD.36.724,1987,1998,5,MakotoKobayashi,2008,-10
10.1103/PhysRevD.36.724,1987,1999,2,MakotoKobayashi,2008,-9
10.1103/PhysRevD.36.724,1987,2000,7,MakotoKobayashi,2008,-8
10.1103/PhysRevD.36.724,1987,2001,4,MakotoKobayashi,2008,-7
10.1103/PhysRevD.36.724,1987,2002,4,MakotoKobayashi,2008,-6
10.1103/PhysRevD.36.724,1987,2003,2,MakotoKobayashi,2008,-5
10.1103/PhysRevD.36.724,1987,2004,3,MakotoKobayashi,2008,-4
10.1103/PhysRevD.36.724,1987,2005,3,MakotoKobayashi,2008,-3
10.1103/PhysRevD.36.724,1987,2006,8,MakotoKobayashi,2008,-2
10.1103/PhysRevD.36.724,1987,2007,5,MakotoKobayashi,2008,-1
10.1103/PhysRevD.36.724,1987,2008,3,MakotoKobayashi,2008,0
10.1103/PhysRevD.36.724,1987,2009,4,MakotoKobayashi,2008,1
10.1103/PhysRevD.36.724,1987,2010,3,MakotoKobayashi,2008,2
10.1103/PhysRevD.36.724,1987,2011,5,MakotoKobayashi,2008,3
10.1103/PhysRevD.36.724,1987,2012,5,MakotoKobayashi,2008,4
10.1103/PhysRevD.36.724,1987,2013,6,MakotoKobayashi,2008,5
10.1103/PhysRevD.36.724,1987,2014,4,MakotoKobayashi,2008,6
10.1103/PhysRevD.36.724,1987,2015,2,MakotoKobayashi,2008,7
10.1103/PhysRevD.36.724,1987,2016,2,MakotoKobayashi,2008,8
10.1103/PhysRevD.36.724,1987,2017,2,MakotoKobayashi,2008,9
10.1103/PhysRevD.36.724,1987,2018,1,MakotoKobayashi,2008,10
10.1103/PhysRevD.89.111502,2014,2014,5,ToshihideMaskawa,2008,6
10.1103/PhysRevD.89.111502,2014,2015,2,ToshihideMaskawa,2008,7
10.1103/PhysRevD.89.111502,2014,2016,11,ToshihideMaskawa,2008,8
10.1103/PhysRevD.89.111502,2014,2017,5,ToshihideMaskawa,2008,9
10.1103/PhysRevD.89.111502,2014,2018,7,ToshihideMaskawa,2008,10
10.1103/PhysRevD.89.111502,2014,2019,2,ToshihideMaskawa,2008,11
10.1103/PhysRevE.58.4692,1998,1998,1,PierreGillesdeGennes,1991,7
10.1103/PhysRevE.58.4692,1998,1999,4,PierreGillesdeGennes,1991,8
10.1103/PhysRevE.58.4692,1998,2000,2,PierreGillesdeGennes,1991,9
10.1103/PhysRevE.58.4692,1998,2001,5,PierreGillesdeGennes,1991,10
10.1103/PhysRevE.58.4692,1998,2002,3,PierreGillesdeGennes,1991,11
10.1103/PhysRevE.58.4692,1998,2003,2,PierreGillesdeGennes,1991,12
10.1103/PhysRevE.58.4692,1998,2004,1,PierreGillesdeGennes,1991,13
10.1103/PhysRevE.58.4692,1998,2005,2,PierreGillesdeGennes,1991,14
10.1103/PhysRevE.58.4692,1998,2006,1,PierreGillesdeGennes,1991,15
10.1103/PhysRevE.58.4692,1998,2007,1,PierreGillesdeGennes,1991,16
10.1103/PhysRevE.58.4692,1998,2008,1,PierreGillesdeGennes,1991,17
10.1103/PhysRevE.58.4692,1998,2015,1,PierreGillesdeGennes,1991,24
10.1103/PhysRevE.58.4692,1998,2017,2,PierreGillesdeGennes,1991,26
10.1103/PhysRevE.58.4692,1998,2018,2,PierreGillesdeGennes,1991,27
10.1103/PhysRevLett.111.185302,2013,2013,6,WolfgangKetterle,2001,12
10.1103/PhysRevLett.111.185302,2013,2014,56,WolfgangKetterle,2001,13
10.1103/PhysRevLett.111.185302,2013,2015,74,WolfgangKetterle,2001,14
10.1103/PhysRevLett.111.185302,2013,2016,74,WolfgangKetterle,2001,15
10.1103/PhysRevLett.111.185302,2013,2017,71,WolfgangKetterle,2001,16
10.1103/PhysRevLett.111.185302,2013,2018,74,WolfgangKetterle,2001,17
10.1103/PhysRevLett.111.185302,2013,2019,67,WolfgangKetterle,2001,18
10.1103/PhysRevLett.111.185302,2013,NA,10,WolfgangKetterle,2001,NA
10.1103/PhysRevLett.20.1205,1968,1968,3,RaymondDavisJr,2002,-34
10.1103/PhysRevLett.20.1205,1968,1969,1,RaymondDavisJr,2002,-33
10.1103/PhysRevLett.20.1205,1968,1970,1,RaymondDavisJr,2002,-32
10.1103/PhysRevLett.20.1205,1968,1971,3,RaymondDavisJr,2002,-31
10.1103/PhysRevLett.20.1205,1968,1972,3,RaymondDavisJr,2002,-30
10.1103/PhysRevLett.20.1205,1968,1973,5,RaymondDavisJr,2002,-29
10.1103/PhysRevLett.20.1205,1968,1974,1,RaymondDavisJr,2002,-28
10.1103/PhysRevLett.20.1205,1968,1976,1,RaymondDavisJr,2002,-26
10.1103/PhysRevLett.20.1205,1968,1977,3,RaymondDavisJr,2002,-25
10.1103/PhysRevLett.20.1205,1968,1978,1,RaymondDavisJr,2002,-24
10.1103/PhysRevLett.20.1205,1968,1980,2,RaymondDavisJr,2002,-22
10.1103/PhysRevLett.20.1205,1968,1981,2,RaymondDavisJr,2002,-21
10.1103/PhysRevLett.20.1205,1968,1982,2,RaymondDavisJr,2002,-20
10.1103/PhysRevLett.20.1205,1968,1983,1,RaymondDavisJr,2002,-19
10.1103/PhysRevLett.20.1205,1968,1984,3,RaymondDavisJr,2002,-18
10.1103/PhysRevLett.20.1205,1968,1985,3,RaymondDavisJr,2002,-17
10.1103/PhysRevLett.20.1205,1968,1986,3,RaymondDavisJr,2002,-16
10.1103/PhysRevLett.20.1205,1968,1987,3,RaymondDavisJr,2002,-15
10.1103/PhysRevLett.20.1205,1968,1988,6,RaymondDavisJr,2002,-14
10.1103/PhysRevLett.20.1205,1968,1989,3,RaymondDavisJr,2002,-13
10.1103/PhysRevLett.20.1205,1968,1990,4,RaymondDavisJr,2002,-12
10.1103/PhysRevLett.20.1205,1968,1991,6,RaymondDavisJr,2002,-11
10.1103/PhysRevLett.20.1205,1968,1992,3,RaymondDavisJr,2002,-10
10.1103/PhysRevLett.20.1205,1968,1993,8,RaymondDavisJr,2002,-9
10.1103/PhysRevLett.20.1205,1968,1994,4,RaymondDavisJr,2002,-8
10.1103/PhysRevLett.20.1205,1968,1995,3,RaymondDavisJr,2002,-7
10.1103/PhysRevLett.20.1205,1968,1996,5,RaymondDavisJr,2002,-6
10.1103/PhysRevLett.20.1205,1968,1997,1,RaymondDavisJr,2002,-5
10.1103/PhysRevLett.20.1205,1968,1998,3,RaymondDavisJr,2002,-4
10.1103/PhysRevLett.20.1205,1968,1999,4,RaymondDavisJr,2002,-3
10.1103/PhysRevLett.20.1205,1968,2000,4,RaymondDavisJr,2002,-2
10.1103/PhysRevLett.20.1205,1968,2001,4,RaymondDavisJr,2002,-1
10.1103/PhysRevLett.20.1205,1968,2002,6,RaymondDavisJr,2002,0
10.1103/PhysRevLett.20.1205,1968,2003,7,RaymondDavisJr,2002,1
10.1103/PhysRevLett.20.1205,1968,2005,1,RaymondDavisJr,2002,3
10.1103/PhysRevLett.20.1205,1968,2006,3,RaymondDavisJr,2002,4
10.1103/PhysRevLett.20.1205,1968,2007,1,RaymondDavisJr,2002,5
10.1103/PhysRevLett.20.1205,1968,2008,2,RaymondDavisJr,2002,6
10.1103/PhysRevLett.20.1205,1968,2009,2,RaymondDavisJr,2002,7
10.1103/PhysRevLett.20.1205,1968,2010,1,RaymondDavisJr,2002,8
10.1103/PhysRevLett.20.1205,1968,2011,4,RaymondDavisJr,2002,9
10.1103/PhysRevLett.20.1205,1968,2012,4,RaymondDavisJr,2002,10
10.1103/PhysRevLett.20.1205,1968,2013,2,RaymondDavisJr,2002,11
10.1103/PhysRevLett.20.1205,1968,2014,1,RaymondDavisJr,2002,12
10.1103/PhysRevLett.20.1205,1968,2016,6,RaymondDavisJr,2002,14
10.1103/PhysRevLett.20.1205,1968,2017,3,RaymondDavisJr,2002,15
10.1103/PhysRevLett.20.1205,1968,2018,1,RaymondDavisJr,2002,16
10.1103/PhysRevLett.20.1205,1968,2019,4,RaymondDavisJr,2002,17
10.1103/PhysRevLett.21.482,1968,1968,1,RichardETaylor,1990,-22
10.1103/PhysRevLett.21.482,1968,1969,3,RichardETaylor,1990,-21
10.1103/PhysRevLett.21.482,1968,1970,3,RichardETaylor,1990,-20
10.1103/PhysRevLett.21.482,1968,1973,1,RichardETaylor,1990,-17
10.1103/PhysRevLett.21.482,1968,1996,1,RichardETaylor,1990,6
10.1103/PhysRevLett.21.482,1968,2003,1,RichardETaylor,1990,13
10.1103/PhysRevLett.21.482,1968,2004,3,RichardETaylor,1990,14
10.1103/PhysRevLett.21.482,1968,2005,4,RichardETaylor,1990,15
10.1103/PhysRevLett.21.482,1968,2007,1,RichardETaylor,1990,17
10.1103/PhysRevLett.21.482,1968,2008,1,RichardETaylor,1990,18
10.1103/PhysRevLett.21.482,1968,2009,2,RichardETaylor,1990,19
10.1103/PhysRevLett.21.482,1968,2011,2,RichardETaylor,1990,21
10.1103/PhysRevLett.21.482,1968,2013,1,RichardETaylor,1990,23
10.1103/PhysRevLett.21.482,1968,2015,3,RichardETaylor,1990,25
10.1103/PhysRevLett.21.482,1968,2017,4,RichardETaylor,1990,27
10.1103/PhysRevLett.23.836,1969,1969,1,DouglasDOsheroff,1996,-27
10.1103/PhysRevLett.23.836,1969,1970,3,DouglasDOsheroff,1996,-26
10.1103/PhysRevLett.23.836,1969,1971,5,DouglasDOsheroff,1996,-25
10.1103/PhysRevLett.23.836,1969,1972,3,DouglasDOsheroff,1996,-24
10.1103/PhysRevLett.23.836,1969,1973,4,DouglasDOsheroff,1996,-23
10.1103/PhysRevLett.23.836,1969,1974,2,DouglasDOsheroff,1996,-22
10.1103/PhysRevLett.23.836,1969,1975,1,DouglasDOsheroff,1996,-21
10.1103/PhysRevLett.23.836,1969,1976,1,DouglasDOsheroff,1996,-20
10.1103/PhysRevLett.23.836,1969,1977,2,DouglasDOsheroff,1996,-19
10.1103/PhysRevLett.23.836,1969,1980,1,DouglasDOsheroff,1996,-16
10.1103/PhysRevLett.23.836,1969,1982,1,DouglasDOsheroff,1996,-14
10.1103/PhysRevLett.23.836,1969,1983,1,DouglasDOsheroff,1996,-13
10.1103/PhysRevLett.23.836,1969,1985,1,DouglasDOsheroff,1996,-11
10.1103/PhysRevLett.23.836,1969,1997,3,DouglasDOsheroff,1996,1
10.1103/PhysRevLett.28.1406,1972,1972,3,FrederickReines,1995,-23
10.1103/PhysRevLett.28.1406,1972,1973,6,FrederickReines,1995,-22
10.1103/PhysRevLett.28.1406,1972,1974,6,FrederickReines,1995,-21
10.1103/PhysRevLett.28.1406,1972,1975,7,FrederickReines,1995,-20
10.1103/PhysRevLett.28.1406,1972,1976,3,FrederickReines,1995,-19
10.1103/PhysRevLett.28.1406,1972,1977,1,FrederickReines,1995,-18
10.1103/PhysRevLett.28.1406,1972,1983,1,FrederickReines,1995,-12
